,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
5301967,116,2023-03-22 16:00:50+00:00,51.0265867,3.6824495,38.0,38.0,186.0,165.0,794.0,800.0,83.0,82.0,87.0,85.0,False
13200308,155,2023-04-20 10:41:13+00:00,51.0296003,3.746865,38.0,28.0,182.0,203.0,799.0,798.0,86.0,87.0,84.0,89.0,False
4947222,175,2023-04-15 12:15:33+00:00,51.246189,5.5429326,26.0,16.0,224.0,265.0,797.0,796.0,81.0,81.0,81.0,79.0,False
14540977,116,2023-03-03 21:19:39+00:00,50.7824818,3.6194391,40.0,34.0,372.0,327.0,1692.0,1688.0,80.0,81.0,81.0,79.0,False
13024499,116,2023-09-05 13:30:15+00:00,51.0216386,3.7627599,44.0,43.0,189.0,169.0,798.0,801.0,87.0,80.0,86.0,81.0,False
14323168,116,2023-02-16 19:29:59+00:00,51.0791697,3.7165724,35.0,41.0,169.0,158.0,794.0,802.0,89.0,86.0,90.0,86.0,False
15205438,175,2023-08-05 09:43:36+00:00,51.1907827,5.1148757,27.0,21.0,227.0,276.0,805.0,803.0,81.0,81.0,81.0,79.0,False
2887678,175,2023-07-04 14:32:41+00:00,51.0430584,5.2545978,43.0,56.0,365.0,434.0,1618.0,1630.0,86.0,87.0,87.0,87.0,False
4579247,116,2023-05-06 08:38:11+00:00,50.8314203,3.6071132,38.0,41.0,379.0,341.0,1514.0,1493.0,83.0,80.0,85.0,83.0,False
7080750,116,2023-03-21 04:07:56+00:00,51.1798248,3.5763347,18.0,38.0,227.0,175.0,804.0,789.0,77.0,76.0,82.0,79.0,False
7933633,155,2023-09-13 13:20:12+00:00,51.0359014,3.7101337,36.0,32.0,193.0,207.0,799.0,802.0,83.0,86.0,85.0,87.0,False
9737449,116,2023-08-30 07:41:12+00:00,51.0156937,3.7752667,46.0,54.0,0.0,0.0,0.0,0.0,77.0,75.0,81.0,77.0,False
11735274,164,2023-07-27 12:25:05+00:00,51.1367878,4.546331,28.0,26.0,225.0,72.33333333333333,799.3333333333334,266.0,83.0,55.0,83.66666666666667,84.66666666666667,False
13928247,155,2023-06-12 10:54:56+00:00,50.8554375,3.606776,42.0,50.0,345.0,203.0,1500.0,927.0,87.0,87.0,89.0,90.0,False
9576536,164,2023-09-09 06:27:51+00:00,51.1805675,4.82742,25.0,28.0,241.0,248.0,797.0,801.0,81.0,79.0,78.0,79.0,False
4891688,155,2023-06-29 10:04:09+00:00,51.0396555,3.6941316,32.0,41.0,182.0,203.0,802.0,806.0,86.0,87.0,87.0,86.0,False
11180941,155,2023-07-19 03:12:31+00:00,50.7742955,3.8730703,25.0,19.0,324.0,351.0,795.0,798.0,55.0,56.0,52.0,51.0,False
6310888,175,2023-04-02 03:41:11+00:00,51.1711138,4.8016363,15.0,15.0,403.0,445.0,1494.0,1330.0,82.0,83.0,85.0,82.0,False
13239728,175,2023-06-17 07:55:43+00:00,50.936878,5.3074449,25.0,24.0,476.0,503.0,799.0,802.0,47.0,44.0,37.0,35.0,False
13111778,164,2023-02-05 15:52:33+00:00,51.1970248,5.1684887,27.0,18.0,213.0,210.0,800.0,804.0,82.0,81.0,77.0,81.0,False
1840882,155,2023-03-24 11:03:12+00:00,51.0136013,3.7800106,11.0,10.0,589.0,589.0,801.0,801.0,22.0,17.0,14.0,16.0,True
635931,155,2023-02-06 05:32:46+00:00,50.8510493,3.6010273,17.0,6.0,258.0,341.0,796.0,800.0,71.0,59.0,74.0,62.0,False
12924394,155,2023-06-15 14:19:23+00:00,51.1073017,3.9855295,38.0,36.0,182.0,210.0,804.0,795.0,87.0,87.0,86.0,87.0,False
5366912,164,2023-03-01 15:47:45+00:00,51.190567,5.1135939,11.0,21.0,238.0,234.0,798.0,798.0,81.0,79.0,74.0,76.0,False
12918073,155,2023-06-09 11:11:07+00:00,51.0403687,3.6878551,40.0,35.0,234.0,265.0,804.0,801.0,74.0,73.0,70.0,70.0,False
9857438,155,2023-05-23 02:54:42+00:00,51.0841406,3.7181281,26.0,27.0,269.0,262.0,803.0,801.0,67.0,74.0,65.0,74.0,False
14310642,164,2023-09-07 07:22:31+00:00,51.1166325,5.2580479,27.0,40.0,403.0,389.0,1550.0,1577.0,83.0,81.0,82.0,85.0,False
8906043,164,2023-02-27 07:01:06+00:00,51.1689522,4.9889552,17.0,34.0,217.0,213.0,803.0,799.0,78.0,78.0,83.0,85.0,False
5141052,175,2023-02-12 09:47:48+00:00,51.1686825,5.1656377,20.0,26.0,200.0,241.0,796.0,805.0,83.0,86.0,85.0,87.0,False
14000773,164,2023-08-17 07:57:12+00:00,50.9366975,5.3068251,20.0,16.5,339.5,242.0,799.5,400.25,64.5,48.75,53.5,55.75,False
13756418,175,2023-03-15 04:56:53+00:00,51.1908147,5.1137651,6.0,6.0,238.0,289.0,801.0,800.0,82.0,82.0,81.0,79.0,False
3476381,123,2023-04-28 19:55:38+00:00,51.1906211,5.1147608,30.0,22.0,217.0,220.0,797.0,801.0,77.0,79.0,80.0,82.0,False
9083145,116,2023-09-12 03:26:24+00:00,50.8504464,3.6006042,26.0,34.0,220.0,175.0,798.0,793.0,79.0,77.0,79.0,77.0,False
11859805,175,2023-07-18 03:48:18+00:00,51.1882499,5.1013959,20.0,17.0,231.0,293.0,799.0,801.0,82.0,81.0,77.0,76.0,False
7483567,116,2023-05-02 05:45:43+00:00,50.9110012,3.6467964,37.0,34.0,196.0,158.0,803.0,807.0,81.0,83.0,89.0,87.0,False
5857852,175,2023-03-15 01:48:58+00:00,51.1907973,5.1137836,6.0,6.0,382.0,445.0,895.0,799.0,63.0,57.0,49.0,49.0,False
16343507,116,2023-04-26 12:06:25+00:00,50.943058,4.0387259,25.0,42.0,220.0,169.0,804.0,795.0,78.0,77.0,81.0,80.0,False
9908166,164,2023-07-02 18:46:41+00:00,51.1768215,4.8742192,30.0,40.0,351.0,341.0,1281.0,1280.0,84.0,84.0,82.0,83.0,False
8110871,155,2023-06-12 07:30:02+00:00,51.0365092,3.7062998,35.0,38.0,193.0,210.0,798.0,799.0,83.0,86.0,86.0,87.0,False
9674179,155,2023-02-02 17:42:57+00:00,50.7748769,3.8729443,51.0,51.0,0.0,17.0,0.0,0.0,74.0,72.0,74.0,74.0,False
10501748,116,2023-06-05 15:46:46+00:00,50.8173705,3.82363,45.0,43.0,345.0,300.0,1799.0,1813.0,85.0,86.0,91.0,91.0,False
3087814,155,2023-07-27 13:19:39+00:00,51.0404136,3.6929605,22.0,33.0,196.0,217.0,802.0,795.0,80.0,82.0,82.0,83.0,False
9669474,164,2023-02-19 01:46:09+00:00,51.1905574,5.1124596,19.0,23.0,255.0,248.0,800.0,805.0,79.0,79.0,70.0,72.0,False
16019097,164,2023-02-18 14:04:33+00:00,51.1696082,4.9939378,30.0,40.0,386.0,376.0,1496.0,1499.0,86.0,87.0,89.0,89.0,False
