,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,week,corr_z_outlier,LOF_status,month
618706,123,2023-03-01 12:29:59+00:00,51.1903073,5.1128452,13.0,18.0,331.0,265.0,789.0,800.0,55.0,70.0,0.0,66.0,60.0,9,corr_outlier,lof_ok,March
16381034,164,2023-04-02 18:32:16+00:00,51.1895879,5.1094396,10.0,15.0,479.0,458.0,797.0,802.0,48.0,48.0,37.0,38.0,19.0,13,corr_ok,lof_ok,April
3617256,164,2023-02-07 09:36:49+00:00,51.1634522,4.7162493,14.0,17.0,407.0,382.0,1942.0,1948.0,82.0,81.0,79.0,80.0,61.0,6,corr_ok,lof_ok,February
13061052,116,2023-08-21 07:55:02+00:00,51.1805212,3.5755819,37.0,43.0,200.0,165.0,795.0,809.0,79.0,79.0,84.0,82.0,56.0,34,corr_ok,lof_ok,August
16297039,116,2023-08-03 02:55:00+00:00,51.0153028,3.7752759,20.0,29.0,224.0,182.0,799.0,804.0,78.0,77.0,77.0,76.0,3.0,31,corr_ok,lof_ok,August
11819707,116,2023-02-22 07:10:43+00:00,51.0358744,3.7103322,27.0,35.0,200.0,169.0,794.0,795.0,78.0,77.0,82.0,80.0,44.0,8,corr_ok,lof_ok,February
11607034,123,2023-02-16 09:58:45+00:00,50.9307915,5.3275506,25.0,18.0,234.0,220.0,795.0,797.0,75.0,80.0,76.0,80.0,63.0,7,corr_ok,lof_ok,February
9076822,116,2023-09-08 03:07:31+00:00,50.7740599,3.8729275,26.0,32.0,213.0,182.0,799.0,799.0,79.0,77.0,73.0,73.0,53.0,36,corr_ok,lof_outlier,September
14494279,164,2023-03-24 17:52:58+00:00,51.1880017,4.8477252,22.0,43.0,382.0,393.0,1405.0,1601.0,82.0,82.0,81.0,82.0,61.0,12,corr_ok,lof_ok,March
12317066,116,2023-03-02 02:58:29+00:00,51.0399321,3.6934192,18.0,25.0,217.0,179.0,797.0,788.0,77.0,76.0,76.0,74.0,8.0,9,corr_ok,lof_ok,March
